Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-07-14,188.22689819335938,134.67999267578125,,337.99041748046875,281.3800048828125
2023-07-17,191.48428344726562,133.55999755859375,,338.4701232910156,290.3800048828125
2023-07-18,191.2276153564453,132.8300018310547,,351.941162109375,293.3399963378906
2023-07-19,192.57992553710938,135.36000061035156,,347.6238098144531,291.260009765625
2023-07-20,190.63539123535156,129.9600067138672,,339.5862121582031,262.8999938964844
2023-07-21,189.46075439453125,130.0,,336.5513000488281,260.0199890136719
2023-07-24,190.26028442382812,128.8000030517578,,337.8631286621094,269.05999755859375
2023-07-25,191.11904907226562,129.1300048828125,,343.6098937988281,265.2799987792969
2023-07-26,191.98768615722656,128.14999389648438,,330.6772766113281,264.3500061035156
2023-07-27,190.72422790527344,128.25,,323.7753601074219,255.7100067138672
2023-07-28,193.3004913330078,132.2100067138672,,331.26470947265625,266.44000244140625
2023-07-31,193.91250610351562,133.67999267578125,,328.8661804199219,267.42999267578125
2023-08-01,193.08334350585938,131.69000244140625,,329.2773132324219,261.07000732421875
2023-08-02,190.09246826171875,128.2100067138672,,320.6229248046875,254.11000061035156
2023-08-03,188.70069885253906,128.91000366210938,,319.8005065917969,259.32000732421875
2023-08-04,179.6392822265625,139.57000732421875,,320.8970642089844,253.86000061035156
2023-08-07,176.5398406982422,142.22000122070312,,323.1781005859375,251.4499969482422
2023-08-08,177.4775848388672,139.94000244140625,,319.20343017578125,249.6999969482422
2023-08-09,175.88836669921875,137.85000610351562,,315.4636535644531,242.19000244140625
2023-08-10,175.67120361328125,138.55999755859375,,316.1488952636719,245.33999633789062
2023-08-11,175.73049926757812,138.41000366210938,,314.269287109375,242.64999389648438
2023-08-14,177.38116455078125,140.57000732421875,,317.235595703125,239.75999450683594
2023-08-15,175.39443969726562,137.6699981689453,,315.10137939453125,232.9600067138672
2023-08-16,174.52464294433594,135.07000732421875,,314.336181640625,225.60000610351562
2023-08-17,171.98439025878906,133.97999572753906,,310.8828125,219.22000122070312
2023-08-18,172.46875,133.22000122070312,,310.4903869628906,215.49000549316406
2023-08-21,173.8031005859375,134.67999267578125,,315.7881774902344,231.27999877929688
2023-08-22,175.177001953125,134.25,,316.357177734375,233.19000244140625
2023-08-23,179.02194213867188,135.52000427246094,,320.8112487792969,236.86000061035156
2023-08-24,174.33685302734375,131.83999633789062,,313.9143371582031,230.0399932861328
2023-08-25,176.54100036621094,133.25999450683594,,316.8673400878906,238.58999633789062
2023-08-28,178.10269165039062,133.13999938964844,,317.5736999511719,238.82000732421875
2023-08-29,181.98716735839844,134.91000366210938,,322.194580078125,257.17999267578125
2023-08-30,185.4762725830078,135.07000732421875,,322.5674133300781,256.8999938964844
2023-08-31,185.69374084472656,138.00999450683594,,321.556884765625,258.0799865722656
2023-09-01,187.2653350830078,138.1199951171875,,322.4397888183594,245.00999450683594
2023-09-05,187.50254821777344,137.27000427246094,,327.2372131347656,256.489990234375
2023-09-06,180.7911834716797,135.36000061035156,,326.5799865722656,251.9199981689453
2023-09-07,175.50315856933594,137.85000610351562,,323.6661682128906,251.49000549316406
2023-09-08,176.11598205566406,138.22999572753906,,327.943603515625,248.5
2023-09-11,177.2823028564453,143.10000610351562,,331.5441589355469,273.5799865722656
2023-09-12,174.25778198242188,141.22999572753906,,325.4909973144531,267.4800109863281
2023-09-13,172.19198608398438,144.85000610351562,,329.6997375488281,271.29998779296875
2023-09-14,173.70423889160156,144.72000122070312,,332.28973388671875,276.0400085449219
2023-09-15,172.98269653320312,140.38999938964844,,323.9703369140625,274.3900146484375
2023-09-18,175.90841674804688,139.97999572753906,,322.8323059082031,265.2799987792969
2023-09-19,176.99569702148438,137.6300048828125,,322.4300537109375,266.5
2023-09-20,173.45716857910156,135.2899932861328,,314.6991271972656,262.5899963378906
2023-09-21,171.91519165039062,129.3300018310547,,313.48260498046875,255.6999969482422
2023-09-22,172.76524353027344,129.1199951171875,,311.0102844238281,244.8800048828125
2023-09-25,174.0403289794922,131.27000427246094,,311.53033447265625,246.99000549316406
2023-09-26,169.96804809570312,125.9800033569336,,306.23248291015625,244.1199951171875
2023-09-27,168.4557647705078,125.9800033569336,,306.8701477050781,240.5
2023-09-28,168.7127685546875,125.9800033569336,,307.70416259765625,246.3800048828125
2023-09-29,169.22671508789062,127.12000274658203,,309.774169921875,250.22000122070312
2023-10-02,171.7373046875,129.4600067138672,,315.7096252441406,251.60000610351562
2023-10-03,170.40293884277344,124.72000122070312,,307.4588623046875,246.52999877929688
2023-10-04,171.64834594726562,127.0,,312.92340087890625,261.1600036621094
2023-10-05,172.88385009765625,125.95999908447266,,313.3157958984375,260.04998779296875
2023-10-06,175.43399047851562,127.95999908447266,,321.06634521484375,260.5299987792969
2023-10-09,176.91661071777344,128.25999450683594,,323.577880859375,259.6700134277344
2023-10-10,176.32354736328125,129.47999572753906,,322.1749267578125,263.6199951171875
2023-10-11,177.7172393798828,131.8300018310547,,326.1286926269531,262.989990234375
2023-10-12,178.61669921875,132.3300018310547,,324.89251708984375,258.8699951171875
2023-10-13,176.7782440185547,129.7899932861328,,321.5274353027344,251.1199951171875
2023-10-16,176.6497344970703,132.5500030517578,,326.3445129394531,253.9199981689453
