Date,Actual,ARIMA_Forecast
2024-10-02,225.300033569336,175.24102326066168
2024-10-03,224.197265625,175.24102326066168
2024-10-04,225.3198699951172,175.24102326066168
2024-10-07,220.2432556152344,175.24102326066168
2024-10-08,224.296615600586,175.24102326066168
2024-10-09,228.04200744628903,175.24102326066168
2024-10-10,227.5452880859375,175.24102326066168
2024-10-11,226.0650177001953,175.24102326066168
2024-10-14,229.79052734375,175.24102326066168
2024-10-15,232.32388305664065,175.24102326066168
2024-10-16,230.2673797607422,175.24102326066168
2024-10-17,230.6349639892578,175.24102326066168
2024-10-18,233.46636962890625,175.24102326066168
2024-10-21,234.93670654296875,175.24102326066168
2024-10-22,234.3207855224609,175.24102326066168
2024-10-23,229.2540435791016,175.24102326066168
2024-10-24,229.0653076171875,175.24102326066168
2024-10-25,229.8998413085937,175.24102326066168
2024-10-28,231.8768310546875,175.24102326066168
2024-10-29,232.1450653076172,175.24102326066168
2024-10-30,228.598373413086,175.24102326066168
2024-10-31,224.43569946289065,175.24102326066168
2024-11-01,221.4552764892578,175.24102326066168
2024-11-04,220.56114196777344,175.24102326066168
2024-11-05,221.99176025390625,175.24102326066168
2024-11-06,221.2665252685547,175.24102326066168
2024-11-07,225.99545288085932,175.24102326066168
2024-11-08,225.72691345214844,175.24102326066168
2024-11-11,223.01174926757807,175.24102326066168
2024-11-12,223.01174926757807,175.24102326066168
2024-11-13,223.8969116210937,175.24102326066168
2024-11-14,226.9800720214844,175.24102326066168
2024-11-15,223.777572631836,175.24102326066168
2024-11-18,226.7811737060547,175.24102326066168
2024-11-19,227.0397491455078,175.24102326066168
2024-11-20,227.75582885742188,175.24102326066168
2024-11-21,227.27847290039065,175.24102326066168
2024-11-22,228.62110900878903,175.24102326066168
2024-11-25,231.60479736328125,175.24102326066168
2024-11-26,233.7829132080078,175.24102326066168
2024-11-27,233.65359497070312,175.24102326066168
2024-11-29,236.0405731201172,175.24102326066168
2024-12-02,238.28829956054688,175.24102326066168
2024-12-03,241.3316650390625,175.24102326066168
2024-12-04,241.6897125244141,175.24102326066168
2024-12-05,241.7195587158203,175.24102326066168
2024-12-06,241.5206298828125,175.24102326066168
2024-12-09,245.409408569336,175.24102326066168
2024-12-10,246.42385864257807,175.24102326066168
2024-12-11,245.1508026123047,175.24102326066168
2024-12-12,246.6128387451172,175.24102326066168
2024-12-13,246.7819061279297,175.24102326066168
2024-12-16,249.6761016845703,175.24102326066168
2024-12-17,252.1028289794922,175.24102326066168
2024-12-18,246.70233154296875,175.24102326066168
2024-12-19,248.4328765869141,175.24102326066168
2024-12-20,253.1073760986328,175.24102326066168
2024-12-23,253.88311767578125,175.24102326066168
2024-12-24,256.7972412109375,175.24102326066168
2024-12-26,257.6127319335937,175.24102326066168
2024-12-27,254.2013702392578,175.24102326066168
2024-12-30,250.8297882080078,175.24102326066168
