Date,Actual,LSTM_Forecast
2023-12-19,194.9151611328125,193.89641103853177
2023-12-20,192.82684326171875,193.5877465140168
2023-12-21,192.6783447265625,193.0172756601771
2023-12-22,191.6094665527344,192.7296768164439
2023-12-26,191.06512451171875,191.91381341038718
2023-12-27,191.16412353515625,191.49967729694944
2023-12-28,191.5896759033203,190.5279436107353
2023-12-29,190.55047607421875,190.73858648854167
2024-01-02,183.7313232421875,190.41156258417297
2024-01-03,182.3555908203125,188.15919747581611
2024-01-04,180.0396728515625,185.50400072322705
2024-01-05,179.31715393066406,184.8295275070336
2024-01-08,183.652099609375,182.7487649291098
2024-01-09,183.23643493652344,183.54776775157382
2024-01-10,184.275634765625,184.87096594210013
2024-01-11,183.68182373046875,183.7669241520957
2024-01-12,184.0084381103516,183.09944265285895
2024-01-16,181.7419891357422,183.68008003850423
2024-01-17,180.80172729492188,182.83500444208227
2024-01-18,186.6905670166016,183.1048089035798
2024-01-19,189.5904693603516,184.4774013185924
2024-01-22,191.896484375,186.4897828523674
2024-01-23,193.17323303222656,187.16085212718272
2024-01-24,192.50021362304688,190.5456075224146
2024-01-25,192.17361450195312,190.89549828436662
2024-01-26,190.4415740966797,190.16128257709758
2024-01-29,189.75868225097656,190.19767140940056
2024-01-30,186.10659790039065,190.79936432497166
2024-01-31,182.5040435791016,189.24801628708647
2024-02-01,184.9387664794922,188.60806922549196
2024-02-02,183.93914794921875,187.38041990392531
2024-02-05,185.7503204345703,187.69126132995456
2024-02-06,187.35366821289065,186.65317330089132
2024-02-07,187.4625396728516,188.0966079372163
2024-02-08,186.3837432861328,187.01378660975885
2024-02-09,187.14682006835932,185.75660176841663
2024-02-12,185.462142944336,186.21479197429647
2024-02-13,183.3711700439453,187.47013560675484
2024-02-14,182.4891815185547,186.72437674626045
2024-02-15,182.20181274414065,187.42403147840005
2024-02-16,180.6657867431641,185.57810761361836
2024-02-20,179.92254638671875,184.42674734900814
2024-02-21,180.6757202148437,183.2721036317408
2024-02-22,182.7071990966797,182.80956287366627
2024-02-23,180.87391662597656,182.5270046593702
2024-02-26,179.52615356445312,183.1638375769555
2024-02-27,180.98291015625,182.45620832244123
2024-02-28,179.7838134765625,182.49568834875024
2024-02-29,179.11990356445312,180.08792492421125
2024-03-01,178.03968811035156,180.1483334474178
2024-03-04,173.52084350585938,179.4880326616827
2024-03-05,168.5857391357422,178.18349939624332
2024-03-06,167.59475708007812,175.7036395460875
2024-03-07,167.47584533691406,174.10041384487639
2024-03-08,169.1902313232422,171.9242552745337
2024-03-11,171.1920166015625,171.86466450486324
2024-03-12,171.6676788330078,171.91652438851196
2024-03-13,169.58663940429688,171.4172783349482
2024-03-14,171.4397735595703,170.8220453679488
2024-03-15,171.06317138671875,171.04247448801792
2024-03-18,172.15325927734375,170.720317667467
2024-03-19,174.4919891357422,170.65938864040862
2024-03-20,177.05862426757812,172.51643619059044
2024-03-21,169.824462890625,173.7579623653288
2024-03-22,170.7262420654297,173.3424771419921
2024-03-25,169.30914306640625,174.45436030851573
2024-03-26,168.17942810058594,174.23750528641082
2024-03-27,171.74693298339844,171.13693326695815
2024-03-28,169.9334716796875,171.83437084583983
2024-04-01,168.49655151367188,171.33321733378494
2024-04-02,167.31727600097656,169.4969737022754
2024-04-03,168.1199493408203,167.89105073764938
2024-04-04,167.29745483398438,168.8395290649033
2024-04-05,168.0506134033203,168.28307207718495
2024-04-08,166.93080139160156,168.7916658653433
2024-04-09,168.13978576660156,169.0042256430868
2024-04-10,166.26681518554688,168.59977203835615
2024-04-11,173.46133422851562,166.39637478743057
2024-04-12,174.95774841308594,170.5042915896304
2024-04-15,171.13255310058594,172.06117323298577
2024-04-16,167.85240173339844,171.92150843657208
2024-04-17,166.48484802246094,171.4036649123612
2024-04-18,165.53350830078125,169.39230223246838
2024-04-19,163.5118865966797,167.55128556841
2024-04-22,164.34432983398438,166.67834283965902
2024-04-23,165.39476013183594,168.78574911681835
2024-04-24,167.4956512451172,166.81094658729032
2024-04-25,168.35781860351562,168.2739745169384
2024-04-26,167.77310180664062,168.08237908300327
2024-04-29,171.9352569580078,167.87340695360714
2024-04-30,168.7938232421875,167.99645829513227
2024-05-01,167.77310180664062,167.96247774943038
2024-05-02,171.469482421875,167.28476231797634
2024-05-03,181.72613525390625,170.34759367955232
2024-05-06,180.0712127685547,174.2104778553449
2024-05-07,180.7549743652344,175.75506718212267
2024-05-08,181.0919189453125,178.50268959055379
2024-05-09,182.9053955078125,178.9283522009835
2024-05-10,181.6451568603516,179.59119331431646
2024-05-13,184.8503570556641,180.35125966752076
2024-05-14,185.9915313720703,184.44664353355734
2024-05-15,188.2639617919922,186.38030959180958
2024-05-16,188.383041381836,188.16520946338233
2024-05-17,188.41281127929688,188.52035811660093
2024-05-20,189.5738220214844,188.01194017799278
2024-05-21,190.873779296875,189.5187205596966
2024-05-22,189.4348907470703,188.82309602773958
2024-05-23,185.4457397460937,189.76228934856985
2024-05-24,188.5219573974609,190.68731643596345
2024-05-28,188.53192138671875,190.38252958081566
2024-05-29,188.8295745849609,189.05607160472132
2024-05-30,189.8219146728516,190.1672468213429
2024-05-31,190.77456665039065,189.64014272184343
2024-06-03,192.54087829589844,191.05728483692334
2024-06-04,192.8584442138672,190.78501949441014
2024-06-05,194.3667755126953,191.28107425056447
2024-06-06,192.98741149902344,192.04379673568113
2024-06-07,195.37892150878903,191.4533349175945
2024-06-10,191.63784790039065,193.52922802498915
2024-06-11,205.5601806640625,193.83768848279186
2024-06-12,211.43478393554688,197.33163654163624
2024-06-13,212.5957794189453,199.67174658135787
2024-06-14,210.8592071533203,200.67539770135232
2024-06-17,215.0071258544922,201.84824457472402
2024-06-18,212.64537048339844,206.18785276201166
2024-06-20,208.07077026367188,204.2090565464597
2024-06-21,205.8975982666016,206.35531212070185
2024-06-24,206.54258728027344,205.98527027325477
2024-06-25,207.4654693603516,205.78218078718538
